datetime,Volume,VWAP,OBV,Cumulative_Return
2024-05-29 18:30:00,4985519,217.7889345044817,32569848209,-0.083083838113171
2024-05-29 19:30:00,4496951,217.7831421008227,32569848208,-0.09038816021319374
2024-05-30 13:30:00,26180175,217.7533863541108,32622208557,-0.06532726132464683
2024-05-30 14:30:00,16795965,217.7320538218595,32622208556,-0.08785823535871229
2024-05-30 15:30:00,6310480,217.7240777800998,32634829515,-0.08698124095260384
2024-05-30 16:30:00,6231529,217.716497510058,32647292572,-0.07913484273412974
2024-05-30 17:30:00,8086079,217.7069471305886,32663464729,-0.0733228446881874
2024-05-30 18:30:00,6621663,217.6990120337113,32663464728,-0.07629567771094148
2024-05-30 19:30:00,4255283,217.6938999448806,32663464727,-0.07686351071557918
2024-05-31 13:30:00,18274811,217.6712325334773,32663464726,-0.08352265038516948
2024-05-31 14:30:00,9980867,217.6582192599771,32663464725,-0.09431139870604888
2024-05-31 15:30:00,7993642,217.6476456793262,32663464724,-0.09759701642313179
2024-05-31 16:30:00,5493957,217.6405726182626,32674452637,-0.09178194645498383
2024-05-31 17:30:00,4178140,217.635160361452,32674452636,-0.0931757326967737
2024-05-31 18:30:00,4355551,217.6295224655434,32683163737,-0.09307246885032072
2024-05-31 19:30:00,6579300,217.6214900813384,32696322336,-0.08083834174804294
2024-06-03 13:30:00,23619345,217.5943960139616,32743561025,-0.06868164283879596
2024-06-03 14:30:00,9383241,217.5832485510429,32743561024,-0.07572784470630411
2024-06-03 15:30:00,8866013,217.5719838636648,32743561023,-0.08966547082249487
2024-06-03 16:30:00,9076381,217.5603020815919,32743561022,-0.09254906056681167
2024-06-03 17:30:00,6348837,217.5522509425921,32756258695,-0.08947965891266818
2024-06-03 18:30:00,4831062,217.5461546152632,32765920818,-0.08850916779737616
2024-06-03 19:30:00,3717740,217.5414422185017,32765920817,-0.08951061443643338
2024-06-04 13:30:00,21893898,217.5127627331993,32765920816,-0.09678917965026979
2024-06-04 14:30:00,9400785,217.5007754178428,32784722385,-0.09116252091073784
2024-06-04 15:30:00,5713011,217.4934218751035,32784722384,-0.09327899654322691
2024-06-04 16:30:00,3926127,217.4883711001492,32792574637,-0.09322472591759301
